<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.04.21	00:03:30.043	1.17851	1.17888			6
2026.04.21	00:04:00.134	1.17851				2
2026.04.21	00:04:30.218		1.17888			4
2026.04.21	00:05:00.019	1.17851				2
2026.04.21	00:05:04.531		1.17874			4
2026.04.21	00:06:00.190	1.17851				2
2026.04.21	00:06:04.700		1.17874			4
2026.04.21	00:07:00.069	1.17851				2
2026.04.21	00:07:04.880		1.17874			4
2026.04.21	00:07:48.206		1.17889			4
2026.04.21	00:08:00.240	1.17851				2
2026.04.21	00:08:48.388		1.17889			4
2026.04.21	00:09:00.113	1.17851				2
2026.04.21	00:09:48.590		1.17889			4
2026.04.21	00:10:00.019	1.17851				2
2026.04.21	00:10:00.315		1.17879			4
2026.04.21	00:10:01.515	1.17842				2
2026.04.21	00:10:08.748	1.17823				2
2026.04.21	00:10:09.953	1.17814	1.17885			6
2026.04.21	00:10:31.305	1.17822	1.17891			6
2026.04.21	00:10:51.173	1.17842	1.17888			6
2026.04.21	00:10:52.377		1.17879			4
2026.04.21	00:11:00.201	1.17842				2
2026.04.21	00:11:52.551		1.17879			4
2026.04.21	00:12:00.070	1.17842				2
2026.04.21	00:12:52.710		1.17879			4
2026.04.21	00:13:00.220	1.17842				2
2026.04.21	00:13:01.429	1.17843				2
2026.04.21	00:13:52.868		1.17879			4
2026.04.21	00:14:00.092	1.17843				2
2026.04.21	00:14:24.462		1.17883			4
2026.04.21	00:14:30.182		1.17884			4
2026.04.21	00:14:39.812		1.17883			4
2026.04.21	00:14:50.035	1.17848	1.17892			6
2026.04.21	00:14:56.363		1.17895			4
2026.04.21	00:14:56.661		1.17894			4
2026.04.21	00:14:58.464	1.17846	1.17893			6
2026.04.21	00:15:00.273	1.17846				2
2026.04.21	00:15:05.992	1.17843	1.17890			6
2026.04.21	00:15:09.004		1.17882			4
2026.04.21	00:15:12.605		1.17891			4
2026.04.21	00:15:34.873		1.17890			4
2026.04.21	00:15:57.427	1.17837				2
2026.04.21	00:15:58.029	1.17843				2
2026.04.21	00:16:00.139	1.17843				2
2026.04.21	00:16:02.854		1.17891			4
2026.04.21	00:16:13.704		1.17890			4
2026.04.21	00:17:00.045	1.17843				2
2026.04.21	00:17:13.896		1.17890			4
