<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.05.19	00:03:30.931	1.16555	1.16567			6
2026.05.19	00:04:00.152	1.16555				2
2026.05.19	00:04:11.277	1.16548	1.16558			6
2026.05.19	00:04:12.180	1.16546				2
2026.05.19	00:05:00.077	1.16546				2
2026.05.19	00:05:00.377		1.16562			4
2026.05.19	00:05:05.794	1.16517	1.16557			6
2026.05.19	00:05:06.094		1.16559			4
2026.05.19	00:05:10.904	1.16513	1.16550			6
2026.05.19	00:05:51.259		1.16546			4
2026.05.19	00:05:51.559		1.16549			4
2026.05.19	00:05:51.859		1.16556			4
2026.05.19	00:06:00.278	1.16513				2
2026.05.19	00:06:03.884		1.16548			4
2026.05.19	00:06:25.272	1.16507	1.16555			6
2026.05.19	00:06:28.283	1.16506				2
2026.05.19	00:06:33.998	1.16504	1.16551			6
2026.05.19	00:06:38.220	1.16503				2
2026.05.19	00:06:44.849		1.16555			4
2026.05.19	00:06:52.674		1.16556			4
2026.05.19	00:06:53.876		1.16555			4
2026.05.19	00:06:59.900		1.16556			4
2026.05.19	00:07:00.200	1.16503				2
2026.05.19	00:07:02.311		1.16555			4
2026.05.19	00:07:34.833	1.16504				2
2026.05.19	00:07:38.144		1.16554			4
2026.05.19	00:07:38.447		1.16553			4
2026.05.19	00:07:39.948		1.16555			4
2026.05.19	00:07:51.385		1.16553			4
2026.05.19	00:08:00.133	1.16504				2
2026.05.19	00:08:26.939		1.16552			4
2026.05.19	00:08:28.142		1.16553			4
2026.05.19	00:08:43.202		1.16555			4
2026.05.19	00:08:44.707		1.16553			4
2026.05.19	00:08:46.219		1.16555			4
2026.05.19	00:08:48.327	1.16503	1.16554			6
2026.05.19	00:09:00.063	1.16503				2
2026.05.19	00:09:00.365		1.16555			4
2026.05.19	00:10:00.289	1.16503				2
2026.05.19	00:10:00.592		1.16555			4
2026.05.19	00:10:08.421	1.16502				2
2026.05.19	00:10:22.560		1.16563			4
2026.05.19	00:10:42.726	1.16496				2
2026.05.19	00:10:52.355	1.16503				2
2026.05.19	00:11:00.172	1.16503				2
2026.05.19	00:11:00.473		1.16562			4
2026.05.19	00:11:06.793	1.16498				2
2026.05.19	00:11:14.334	1.16505				2
2026.05.19	00:11:16.440		1.16556			4
2026.05.19	00:11:17.640	1.16494				2
2026.05.19	00:11:38.695	1.16504				2
2026.05.19	00:12:00.071	1.16504				2
2026.05.19	00:12:16.635		1.16556			4
2026.05.19	00:12:18.742	1.16497				2
2026.05.19	00:12:33.185	1.16506				2
2026.05.19	00:12:38.299	1.16504				2
2026.05.19	00:12:42.512	1.16503				2
2026.05.19	00:12:43.716	1.16502				2
2026.05.19	00:12:47.331		1.16557			4
2026.05.19	00:12:48.235		1.16556			4
2026.05.19	00:13:00.277	1.16502				2
2026.05.19	00:13:00.576	1.16511				2
2026.05.19	00:13:02.680	1.16502				2
2026.05.19	00:13:08.096	1.16498				2
2026.05.19	00:13:11.706	1.16497				2
2026.05.19	00:13:48.430		1.16556			4
2026.05.19	00:13:52.349	1.16504				2
2026.05.19	00:14:00.176	1.16504				2
2026.05.19	00:14:48.646		1.16556			4
2026.05.19	00:15:00.079	1.16504				2
2026.05.19	00:15:48.857		1.16556			4
2026.05.19	00:16:00.010	1.16504				2
2026.05.19	00:16:49.077		1.16556			4
2026.05.19	00:17:00.208	1.16504				2
