<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.01.02	00:03:30.813	1.17450	1.17533			6
2026.01.02	00:04:00.203	1.17450				2
2026.01.02	00:04:31.085		1.17533			4
2026.01.02	00:05:00.156	1.17450				2
2026.01.02	00:05:00.465	1.17454				2
2026.01.02	00:05:00.785	1.17456				2
2026.01.02	00:05:01.722	1.17459	1.17532			6
2026.01.02	00:05:41.631		1.17531			4
2026.01.02	00:06:00.184	1.17459				2
2026.01.02	00:06:12.868		1.17532			4
2026.01.02	00:06:36.059		1.17531			4
2026.01.02	00:07:00.142	1.17459				2
2026.01.02	00:07:07.251		1.17532			4
2026.01.02	00:08:00.189	1.17459				2
2026.01.02	00:08:04.860		1.17531			4
2026.01.02	00:08:35.846		1.17532			4
2026.01.02	00:09:00.300	1.17459				2
2026.01.02	00:09:14.190		1.17531			4
2026.01.02	00:09:45.429		1.17532			4
2026.01.02	00:09:57.808	1.17461				2
2026.01.02	00:10:00.276	1.17461	1.17527			6
2026.01.02	00:10:01.825	1.17462				2
2026.01.02	00:10:09.261	1.17463				2
2026.01.02	00:10:11.422		1.17532			4
2026.01.02	00:10:15.742	1.17489	1.17540			6
2026.01.02	00:10:52.799		1.17530			4
2026.01.02	00:10:58.940		1.17540			4
2026.01.02	00:10:59.852		1.17530			4
2026.01.02	00:11:00.156	1.17489				2
2026.01.02	00:11:02.942	1.17487				2
2026.01.02	00:11:05.101		1.17540			4
2026.01.02	00:11:06.329		1.17530			4
2026.01.02	00:11:06.648		1.17539			4
2026.01.02	00:11:11.594		1.17540			4
2026.01.02	00:11:12.522		1.17539			4
2026.01.02	00:11:12.827	1.17486				2
2026.01.02	00:11:17.789		1.17540			4
2026.01.02	00:11:51.134		1.17530			4
2026.01.02	00:11:57.295	1.17487				2
2026.01.02	00:12:00.096	1.17487				2
2026.01.02	00:12:02.260	1.17486				2
2026.01.02	00:12:12.733	1.17487				2
2026.01.02	00:12:21.668		1.17538			4
2026.01.02	00:12:23.818		1.17530			4
2026.01.02	00:12:46.342	1.17484				2
2026.01.02	00:12:47.270	1.17485				2
2026.01.02	00:12:48.197	1.17484				2
2026.01.02	00:12:54.376		1.17536			4
2026.01.02	00:13:00.240	1.17484				2
2026.01.02	00:13:02.713		1.17530			4
2026.01.02	00:13:07.647		1.17528			4
2026.01.02	00:13:13.204	1.17481				2
2026.01.02	00:13:29.226	1.17483				2
2026.01.02	00:13:33.238		1.17532			4
2026.01.02	00:13:40.028	1.17486				2
2026.01.02	00:13:50.496	1.17482	1.17529			6
2026.01.02	00:14:00.020	1.17482				2
2026.01.02	00:14:00.321	1.17480	1.17527			6
2026.01.02	00:14:29.584	1.17478	1.17521			6
2026.01.02	00:14:30.200	1.17475	1.17520			6
2026.01.02	00:14:52.659	1.17484	1.17526			6
2026.01.02	00:14:59.100	1.17483				2
2026.01.02	00:14:59.710	1.17482				2
2026.01.02	00:15:00.015	1.17482				2
2026.01.02	00:15:00.934	1.17481				2
2026.01.02	00:15:01.860	1.17479				2
2026.01.02	00:15:02.794	1.17478	1.17525			6
2026.01.02	00:15:12.062	1.17479				2
2026.01.02	00:15:21.642	1.17481				2
2026.01.02	00:15:29.667	1.17476	1.17521			6
2026.01.02	00:15:30.595	1.17475	1.17520			6
2026.01.02	00:15:38.002	1.17477	1.17523			6
2026.01.02	00:15:45.093	1.17475	1.17521			6
2026.01.02	00:15:51.255	1.17474	1.17519			6
2026.01.02	00:15:51.872	1.17475				2
2026.01.02	00:15:59.598	1.17472				2
2026.01.02	00:16:00.211	1.17472				2
2026.01.02	00:16:06.992	1.17482	1.17528			6
2026.01.02	00:16:08.234	1.17479				2
2026.01.02	00:16:10.709	1.17480				2
2026.01.02	00:16:11.631	1.17481				2
2026.01.02	00:16:13.177	1.17479				2
2026.01.02	00:16:14.723		1.17530			4
2026.01.02	00:16:19.968	1.17480				2
2026.01.02	00:16:29.552	1.17478	1.17525			6
2026.01.02	00:16:29.860	1.17477				2
2026.01.02	00:16:30.173	1.17474	1.17520			6
2026.01.02	00:16:32.940		1.17523			4
2026.01.02	00:16:35.728		1.17524			4
2026.01.02	00:16:53.523	1.17473				2
2026.01.02	00:17:00.292	1.17473				2
2026.01.02	00:17:13.220	1.17476				2
2026.01.02	00:17:33.179	1.17475	1.17525			6
2026.01.02	00:17:50.144	1.17477	1.17526			6
2026.01.02	00:17:51.367	1.17476				2
2026.01.02	00:17:51.682	1.17475				2
2026.01.02	00:17:57.863	1.17477	1.17527			6
2026.01.02	00:17:58.788	1.17478				2
2026.01.02	00:17:59.098	1.17476				2
2026.01.02	00:18:00.025	1.17475				2
2026.01.02	00:18:00.953	1.17476				2
2026.01.02	00:18:07.418		1.17528			4
2026.01.02	00:18:59.039		1.17526			4
2026.01.02	00:18:59.342	1.17475				2
2026.01.02	00:19:00.268	1.17475				2
2026.01.02	00:19:00.571	1.17476				2
2026.01.02	00:19:28.685		1.17524			4
2026.01.02	00:19:29.917		1.17525			4
2026.01.02	00:19:53.098		1.17526			4
2026.01.02	00:20:00.203	1.17476				2
2026.01.02	00:20:33.915	1.17471	1.17523			6
2026.01.02	00:20:34.840	1.17472	1.17522			6
2026.01.02	00:21:00.278	1.17472				2
2026.01.02	00:21:34.964		1.17522			4
2026.01.02	00:22:00.101	1.17472				2
2026.01.02	00:22:11.607	1.17471	1.17523			6
2026.01.02	00:22:29.684	1.17469	1.17525			6
2026.01.02	00:22:34.047	1.17468	1.17527			6
2026.01.02	00:22:53.272	1.17471				2
2026.01.02	00:22:55.462		1.17525			4
2026.01.02	00:23:00.088	1.17471				2
2026.01.02	00:23:26.199	1.17468				2
2026.01.02	00:23:26.517	1.17467	1.17527			6
2026.01.02	00:23:27.762	1.17468				2
2026.01.02	00:23:29.928	1.17467				2
2026.01.02	00:23:32.716		1.17528			4
2026.01.02	00:23:34.266	1.17468				2
2026.01.02	00:23:39.212	1.17467				2
2026.01.02	00:23:47.259		1.17525			4
2026.01.02	00:23:51.585	1.17471				2
2026.01.02	00:24:00.299	1.17471				2
2026.01.02	00:24:18.251		1.17528			4
2026.01.02	00:24:29.973		1.17535			4
2026.01.02	00:25:00.244	1.17466	1.17534			6
2026.01.02	00:25:01.162	1.17470	1.17532			6
2026.01.02	00:25:01.463	1.17471				2
2026.01.02	00:25:09.851		1.17528			4
2026.01.02	00:25:10.152	1.17470				2
2026.01.02	00:25:19.462	1.17467				2
2026.01.02	00:25:23.476	1.17468				2
2026.01.02	00:25:31.548	1.17467				2
2026.01.02	00:25:44.307		1.17529			4
2026.01.02	00:25:59.791	1.17468				2
2026.01.02	00:26:00.102	1.17468				2
2026.01.02	00:26:01.337	1.17472				2
2026.01.02	00:26:02.261	1.17468				2
2026.01.02	00:26:08.457	1.17466				2
2026.01.02	00:26:13.066	1.17465				2
2026.01.02	00:26:33.160	1.17466				2
2026.01.02	00:26:37.183	1.17465				2
2026.01.02	00:26:38.413	1.17466				2
2026.01.02	00:26:44.326		1.17529			4
2026.01.02	00:26:57.314	1.17465	1.17530			6
2026.01.02	00:27:00.093	1.17465				2
2026.01.02	00:27:22.367		1.17529			4
2026.01.02	00:27:36.879	1.17466				2
2026.01.02	00:27:38.429	1.17462				2
2026.01.02	00:27:52.942		1.17530			4
2026.01.02	00:28:00.107	1.17462				2
2026.01.02	00:28:04.167	1.17463				2
2026.01.02	00:28:07.261	1.17466	1.17531			6
2026.01.02	00:28:25.785		1.17528			4
2026.01.02	00:28:56.386		1.17531			4
2026.01.02	00:28:59.174	1.17465				2
2026.01.02	00:29:00.100	1.17465				2
2026.01.02	00:29:20.862		1.17528			4
2026.01.02	00:29:38.460	1.17462				2
2026.01.02	00:29:48.644	1.17463				2
2026.01.02	00:29:51.441		1.17530			4
2026.01.02	00:29:57.302	1.17456				2
2026.01.02	00:29:58.230	1.17461				2
2026.01.02	00:29:59.458		1.17529			4
2026.01.02	00:30:00.082	1.17461				2
2026.01.02	00:30:02.242	1.17460	1.17530			6
2026.01.02	00:30:37.551	1.17458				2
2026.01.02	00:30:38.488		1.17526			4
2026.01.02	00:30:57.981	1.17456				2
2026.01.02	00:31:00.148	1.17456				2
2026.01.02	00:31:07.865		1.17525			4
2026.01.02	00:31:37.577	1.17458				2
2026.01.02	00:31:48.388	1.17456				2
2026.01.02	00:32:00.171	1.17456				2
2026.01.02	00:32:04.817	1.17458				2
2026.01.02	00:32:07.908		1.17525			4
2026.01.02	00:32:13.183	1.17459				2
2026.01.02	00:32:33.581	1.17454				2
2026.01.02	00:33:00.229	1.17454				2
2026.01.02	00:33:07.956		1.17525			4
2026.01.02	00:33:27.668	1.17456				2
2026.01.02	00:33:40.693	1.17457				2
2026.01.02	00:34:00.224	1.17457				2
2026.01.02	00:34:07.981		1.17525			4
2026.01.02	00:34:32.802	1.17458				2
2026.01.02	00:34:48.330	1.17455				2
2026.01.02	00:34:54.215	1.17456				2
2026.01.02	00:35:00.096	1.17456				2
2026.01.02	00:35:00.413	1.17455				2
2026.01.02	00:35:08.129		1.17525			4
2026.01.02	00:35:11.236	1.17458				2
2026.01.02	00:36:00.204	1.17458				2
2026.01.02	00:36:08.309		1.17525			4
2026.01.02	00:37:00.228	1.17458				2
2026.01.02	00:37:08.558		1.17525			4
2026.01.02	00:38:00.022	1.17458				2
2026.01.02	00:38:08.707		1.17525			4
2026.01.02	00:38:11.809		1.17530			4
2026.01.02	00:39:00.124	1.17458				2
2026.01.02	00:39:10.984	1.17456	1.17525			6
2026.01.02	00:39:11.292	1.17458				2
2026.01.02	00:39:28.601	1.17460				2
2026.01.02	00:39:42.870	1.17461				2
2026.01.02	00:39:49.662	1.17464				2
2026.01.02	00:39:53.675	1.17463				2
2026.01.02	00:40:00.173	1.17463				2
2026.01.02	00:40:06.071	1.17461				2
2026.01.02	00:40:11.022	1.17460	1.17525			6
2026.01.02	00:40:32.666	1.17461				2
2026.01.02	00:40:36.090	1.17458				2
2026.01.02	00:40:36.397	1.17460				2
2026.01.02	00:40:41.995	1.17456				2
2026.01.02	00:40:42.311	1.17458				2
2026.01.02	00:40:44.784	1.17459				2
2026.01.02	00:40:48.804	1.17460				2
2026.01.02	00:41:00.272	1.17460				2
2026.01.02	00:41:11.090		1.17525			4
2026.01.02	00:41:17.585	1.17457				2
2026.01.02	00:41:17.895	1.17459				2
2026.01.02	00:41:18.201	1.17457				2
2026.01.02	00:41:20.053	1.17459				2
2026.01.02	00:41:34.288	1.17460				2
2026.01.02	00:42:00.109	1.17460				2
2026.01.02	00:42:02.612	1.17459				2
2026.01.02	00:42:08.497	1.17460				2
2026.01.02	00:42:11.275		1.17525			4
2026.01.02	00:42:52.162	1.17456	1.17520			6
2026.01.02	00:42:53.728		1.17519			4
2026.01.02	00:42:58.106	1.17458				2
2026.01.02	00:43:00.258	1.17458				2
2026.01.02	00:43:01.482	1.17459				2
2026.01.02	00:43:08.320	1.17461				2
2026.01.02	00:43:11.094	1.17462				2
2026.01.02	00:43:24.742	1.17463				2
2026.01.02	00:43:27.832		1.17520			4
2026.01.02	00:43:28.150		1.17519			4
2026.01.02	00:43:28.769	1.17462				2
2026.01.02	00:43:34.067		1.17520			4
2026.01.02	00:43:34.385		1.17519			4
2026.01.02	00:43:40.619		1.17520			4
2026.01.02	00:43:40.923		1.17519			4
2026.01.02	00:43:50.218	1.17461				2
2026.01.02	00:44:00.087	1.17461				2
2026.01.02	00:44:03.501	1.17460				2
2026.01.02	00:44:08.168		1.17518			4
2026.01.02	00:44:09.096		1.17519			4
2026.01.02	00:44:15.321		1.17518			4
2026.01.02	00:44:30.497		1.17520			4
2026.01.02	00:44:33.903		1.17522			4
2026.01.02	00:44:52.895	1.17461				2
2026.01.02	00:44:53.825		1.17519			4
2026.01.02	00:45:00.312	1.17461				2
2026.01.02	00:45:03.089	1.17458				2
2026.01.02	00:45:06.488	1.17461				2
2026.01.02	00:45:11.848	1.17471	1.17516			6
2026.01.02	00:45:14.613	1.17472				2
2026.01.02	00:45:27.630	1.17471	1.17517			6
2026.01.02	00:45:38.147		1.17516			4
2026.01.02	00:45:45.870	1.17467	1.17514			6
2026.01.02	00:45:49.269	1.17468				2
2026.01.02	00:45:54.218	1.17466				2
2026.01.02	00:46:00.086	1.17466				2
2026.01.02	00:46:11.823	1.17467				2
2026.01.02	00:46:17.695	1.17466				2
2026.01.02	00:46:46.134		1.17514			4
2026.01.02	00:47:00.033	1.17466				2
2026.01.02	00:47:03.129	1.17456	1.17519			6
2026.01.02	00:47:06.524	1.17466	1.17514			6
2026.01.02	00:47:21.678	1.17463				2
2026.01.02	00:47:21.985	1.17465				2
2026.01.02	00:47:25.702	1.17466				2
2026.01.02	00:47:26.017	1.17464				2
2026.01.02	00:47:26.945	1.17471	1.17510			6
2026.01.02	00:47:28.184		1.17509			4
2026.01.02	00:47:31.589	1.17472				2
2026.01.02	00:47:32.520	1.17471				2
2026.01.02	00:47:37.475	1.17472				2
2026.01.02	00:47:38.724	1.17473	1.17508			6
