<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.04.27	00:03:30.979	1.16972	1.17002			6
2026.04.27	00:04:00.174	1.16972				2
2026.04.27	00:04:00.475	1.16971				2
2026.04.27	00:04:00.777	1.16969				2
2026.04.27	00:04:02.284	1.16972				2
2026.04.27	00:04:31.173		1.17002			4
2026.04.27	00:04:40.202	1.16978	1.17031			6
2026.04.27	00:04:58.571	1.16977				2
2026.04.27	00:05:00.079	1.16977				2
2026.04.27	00:05:00.373	1.16978				2
2026.04.27	00:05:04.584	1.16966				2
2026.04.27	00:05:10.598	1.16976				2
2026.04.27	00:05:10.898	1.16973				2
2026.04.27	00:05:14.203	1.16963				2
2026.04.27	00:05:21.435	1.16964				2
2026.04.27	00:05:33.476	1.16958				2
2026.04.27	00:05:35.277	1.16967				2
2026.04.27	00:05:38.286	1.16964				2
2026.04.27	00:05:38.891	1.16973	1.17039			6
2026.04.27	00:06:00.276	1.16973				2
2026.04.27	00:06:04.473	1.16968				2
2026.04.27	00:06:39.100		1.17039			4
2026.04.27	00:07:00.170	1.16968				2
2026.04.27	00:07:02.574		1.17031			4
2026.04.27	00:07:57.646		1.17034			4
2026.04.27	00:07:58.251		1.17031			4
2026.04.27	00:08:00.063	1.16968				2
2026.04.27	00:08:08.471		1.17034			4
2026.04.27	00:08:10.574		1.17031			4
2026.04.27	00:09:00.264	1.16968				2
2026.04.27	00:09:00.862		1.17024			4
2026.04.27	00:09:54.750	1.16976				2
2026.04.27	00:10:00.162	1.16977				2
2026.04.27	00:10:01.064		1.17024			4
2026.04.27	00:10:02.272	1.16976				2
2026.04.27	00:11:00.035	1.16976				2
2026.04.27	00:11:01.236		1.17024			4
2026.04.27	00:12:00.186	1.16976				2
2026.04.27	00:12:01.386		1.17024			4
2026.04.27	00:13:00.066	1.16976				2
2026.04.27	00:13:01.566		1.17024			4
2026.04.27	00:13:17.798	1.16973				2
2026.04.27	00:14:00.272	1.16973				2
2026.04.27	00:14:01.773		1.17024			4
2026.04.27	00:15:00.163	1.16973				2
2026.04.27	00:15:00.468	1.16983				2
2026.04.27	00:15:01.067	1.16986				2
2026.04.27	00:15:01.969		1.17024			4
2026.04.27	00:15:05.574	1.16978				2
2026.04.27	00:16:00.013	1.16978				2
2026.04.27	00:16:02.128		1.17024			4
2026.04.27	00:16:28.600	1.16987				2
2026.04.27	00:16:29.806	1.16965				2
2026.04.27	00:16:35.536	1.16967				2
2026.04.27	00:16:35.837	1.16968				2
2026.04.27	00:16:37.346	1.16967				2
2026.04.27	00:16:40.652	1.16966				2
2026.04.27	00:17:00.202	1.16966				2
2026.04.27	00:17:02.311		1.17024			4
2026.04.27	00:17:27.890	1.16972				2
2026.04.27	00:17:34.800	1.16971				2
2026.04.27	00:18:00.076	1.16971				2
2026.04.27	00:18:02.483		1.17024			4
2026.04.27	00:18:09.100	1.16969				2
2026.04.27	00:18:16.649	1.16970				2
2026.04.27	00:18:58.495	1.16965				2
2026.04.27	00:19:00.297	1.16965				2
2026.04.27	00:19:02.701		1.17024			4
2026.04.27	00:19:40.953	1.16966				2
2026.04.27	00:19:47.567	1.16965				2
2026.04.27	00:19:50.568	1.16971	1.17032			6
2026.04.27	00:19:55.977	1.16986	1.17069			6
2026.04.27	00:19:56.277	1.16982	1.17065			6
2026.04.27	00:20:00.198	1.16982				2
2026.04.27	00:20:03.507	1.16978	1.17061			6
2026.04.27	00:20:58.024	1.16979	1.17062			6
2026.04.27	00:20:58.325	1.16984	1.17058			6
2026.04.27	00:21:00.136	1.16984				2
2026.04.27	00:21:01.037		1.17060			4
2026.04.27	00:21:08.259		1.17061			4
2026.04.27	00:21:09.765	1.16986	1.17058			6
2026.04.27	00:21:13.672	1.16980	1.17063			6
2026.04.27	00:21:17.878	1.16978	1.17061			6
2026.04.27	00:21:28.115	1.16976	1.17059			6
2026.04.27	00:21:30.526	1.16977	1.17060			6
2026.04.27	00:21:33.555	1.16976	1.17059			6
2026.04.27	00:22:00.039	1.16976				2
2026.04.27	00:22:33.750		1.17059			4
2026.04.27	00:22:46.990	1.16982	1.17065			6
2026.04.27	00:23:00.254	1.16982				2
2026.04.27	00:23:11.672	1.16984	1.17067			6
2026.04.27	00:23:11.972	1.16983	1.17066			6
2026.04.27	00:23:20.679	1.16982	1.17065			6
2026.04.27	00:24:00.103	1.16982				2
2026.04.27	00:24:11.515	1.16981	1.17064			6
2026.04.27	00:24:11.818	1.16982	1.17065			6
2026.04.27	00:24:31.976	1.16978	1.17059			6
2026.04.27	00:25:00.266	1.16978				2
2026.04.27	00:25:15.288	1.16982	1.17065			6
2026.04.27	00:26:00.140	1.16982				2
2026.04.27	00:26:15.477		1.17065			4
2026.04.27	00:26:27.512	1.16981	1.17064			6
2026.04.27	00:26:36.250	1.16982	1.17065			6
2026.04.27	00:26:47.982	1.16981	1.17064			6
2026.04.27	00:26:54.902	1.16985	1.17063			6
2026.04.27	00:27:00.023	1.16985				2
2026.04.27	00:27:09.657	1.16984				2
2026.04.27	00:27:22.003	1.16985				2
2026.04.27	00:27:31.948	1.16980				2
2026.04.27	00:27:55.113		1.17063			4
2026.04.27	00:28:00.234	1.16980				2
2026.04.27	00:28:13.187	1.16978	1.17052			6
2026.04.27	00:28:22.216		1.17057			4
2026.04.27	00:29:00.148	1.16978				2
2026.04.27	00:29:22.413		1.17057			4
2026.04.27	00:30:00.049	1.16978				2
2026.04.27	00:30:00.346	1.16980	1.17063			6
2026.04.27	00:30:05.764	1.16979	1.17062			6
2026.04.27	00:30:13.571	1.16980	1.17063			6
2026.04.27	00:30:47.894	1.16979	1.17062			6
2026.04.27	00:31:00.254	1.16979				2
2026.04.27	00:31:16.479	1.16980	1.17063			6
2026.04.27	00:31:37.561	1.16979	1.17062			6
2026.04.27	00:31:47.488	1.16980	1.17063			6
2026.04.27	00:32:00.151	1.16980				2
2026.04.27	00:32:14.888	1.16998				2
2026.04.27	00:32:15.186		1.17072			4
2026.04.27	00:32:22.403		1.17071			4
2026.04.27	00:32:47.972		1.17072			4
2026.04.27	00:32:49.773		1.17071			4
2026.04.27	00:32:55.184		1.17072			4
2026.04.27	00:33:00.295	1.16998				2
2026.04.27	00:33:09.929		1.17069			4
2026.04.27	00:33:59.237		1.17076			4
2026.04.27	00:34:00.147	1.16998				2
2026.04.27	00:34:16.984	1.17010	1.17082			6
2026.04.27	00:34:45.579		1.17089			4
2026.04.27	00:34:46.786	1.17011				2
2026.04.27	00:34:57.020	1.17024	1.17091			6
2026.04.27	00:35:00.031	1.17024				2
2026.04.27	00:35:00.930		1.17097			4
2026.04.27	00:35:05.150	1.17026	1.17100			6
2026.04.27	00:35:05.450		1.17103			4
2026.04.27	00:35:09.661		1.17107			4
2026.04.27	00:35:12.068	1.17022	1.17104			6
2026.04.27	00:35:12.369	1.17025	1.17101			6
2026.04.27	00:35:20.186		1.17104			4
2026.04.27	00:35:20.488		1.17103			4
2026.04.27	00:35:20.789		1.17101			4
2026.04.27	00:35:21.390	1.17046	1.17102			6
2026.04.27	00:35:44.861		1.17104			4
2026.04.27	00:35:50.568	1.17050	1.17102			6
2026.04.27	00:35:58.675		1.17103			4
2026.04.27	00:36:00.178	1.17050				2
2026.04.27	00:36:16.140		1.17102			4
2026.04.27	00:36:53.763	1.17051				2
2026.04.27	00:36:57.369		1.17106			4
2026.04.27	00:37:00.078	1.17051				2
2026.04.27	00:37:06.086		1.17105			4
2026.04.27	00:37:34.073		1.17103			4
2026.04.27	00:37:48.831	1.17052				2
2026.04.27	00:37:57.566		1.17106			4
2026.04.27	00:37:59.368	1.17057				2
2026.04.27	00:38:00.275	1.17057				2
2026.04.27	00:38:02.673	1.17052	1.17104			6
2026.04.27	00:38:14.396	1.17053	1.17096			6
2026.04.27	00:38:22.514	1.17052				2
2026.04.27	00:38:25.525	1.17053				2
2026.04.27	00:38:30.038	1.17056				2
2026.04.27	00:38:52.298	1.17068				2
2026.04.27	00:38:53.501	1.17065	1.17094			6
2026.04.27	00:38:57.417	1.17063	1.17096			6
2026.04.27	00:38:57.718		1.17095			4
2026.04.27	00:39:00.129	1.17063				2
2026.04.27	00:39:00.429	1.17055	1.17098			6
2026.04.27	00:39:04.942		1.17103			4
2026.04.27	00:40:00.016	1.17055				2
2026.04.27	00:40:05.130		1.17103			4
2026.04.27	00:40:14.762	1.17061				2
2026.04.27	00:40:18.070	1.17059				2
2026.04.27	00:40:20.486	1.17058				2
2026.04.27	00:40:53.925	1.17055				2
2026.04.27	00:40:55.130	1.17054				2
2026.04.27	00:40:55.430	1.17055				2
2026.04.27	00:40:56.032	1.17053				2
2026.04.27	00:41:00.250	1.17053				2
2026.04.27	00:41:05.366		1.17103			4
2026.04.27	00:41:12.881	1.17059				2
2026.04.27	00:41:20.702	1.17056				2
2026.04.27	00:41:24.919	1.17053				2
2026.04.27	00:41:25.822	1.17058				2
